DATE,DGORDER_PC1
1993-02-01,12.50186
1993-03-01,5.61300
1993-04-01,2.34996
1993-05-01,0.56190
1993-06-01,6.00648
1993-07-01,4.50363
1993-08-01,7.44699
1993-09-01,5.40299
1993-10-01,4.53404
1993-11-01,6.55123
1993-12-01,5.93671
1994-01-01,13.86174
1994-02-01,6.43131
1994-03-01,7.71998
1994-04-01,10.15817
1994-05-01,12.72515
1994-06-01,11.40525
1994-07-01,13.19325
1994-08-01,12.75797
1994-09-01,14.34691
1994-10-01,12.29950
1994-11-01,15.06776
1994-12-01,14.16838
1995-01-01,8.63623
1995-02-01,12.18819
1995-03-01,11.96649
1995-04-01,7.88465
1995-05-01,7.15698
1995-06-01,3.43851
1995-07-01,2.69079
1995-08-01,5.81832
1995-09-01,10.09575
1995-10-01,3.96263
1995-11-01,4.07097
1995-12-01,7.07592
1996-01-01,3.55379
1996-02-01,-2.00382
1996-03-01,7.90644
1996-04-01,3.58584
1996-05-01,7.63161
1996-06-01,9.69537
1996-07-01,9.85327
1996-08-01,1.90319
1996-09-01,3.28828
1996-10-01,6.29884
1996-11-01,9.37392
1996-12-01,-0.57999
1997-01-01,3.86442
1997-02-01,12.89886
1997-03-01,1.57114
1997-04-01,10.98259
1997-05-01,2.48264
1997-06-01,6.21450
1997-07-01,9.33565
1997-08-01,12.70866
1997-09-01,7.49084
1997-10-01,7.58474
1997-11-01,11.94732
1997-12-01,7.04605
1998-01-01,7.70020
1998-02-01,6.49097
1998-03-01,5.56073
1998-04-01,3.94188
1998-05-01,7.14650
1998-06-01,-1.50948
1998-07-01,-4.69697
1998-08-01,0.97630
1998-09-01,2.01704
1998-10-01,0.40832
1998-11-01,-4.59602
1998-12-01,2.67825
1999-01-01,7.02228
1999-02-01,2.35891
1999-03-01,4.41132
1999-04-01,1.14861
1999-05-01,2.95016
1999-06-01,6.04046
1999-07-01,10.92579
1999-08-01,5.79837
1999-09-01,4.12739
1999-10-01,8.97343
1999-11-01,2.30099
1999-12-01,10.04349
2000-01-01,7.95220
2000-02-01,-0.88118
2000-03-01,4.02894
2000-04-01,6.58550
2000-05-01,1.42125
2000-06-01,20.34887
2000-07-01,0.09625
2000-08-01,-0.36111
2000-09-01,5.84246
2000-10-01,-4.31207
2000-11-01,1.49788
2000-12-01,-3.91405
2001-01-01,-12.06992
2001-02-01,-1.97650
2001-03-01,-5.16369
2001-04-01,-11.89168
2001-05-01,-5.75644
2001-06-01,-19.74789
2001-07-01,-10.11069
2001-08-01,-9.66778
2001-09-01,-17.91675
2001-10-01,-7.85784
2001-11-01,-13.50691
2001-12-01,-12.37948
2002-01-01,-7.75574
2002-02-01,-4.36553
2002-03-01,-7.87886
2002-04-01,0.00116
2002-05-01,-3.31647
2002-06-01,-5.82932
2002-07-01,2.44109
2002-08-01,3.89597
2002-09-01,1.65425
2002-10-01,-1.39684
2002-11-01,3.79218
2002-12-01,-0.81184
2003-01-01,4.08391
2003-02-01,0.99010
2003-03-01,2.61658
2003-04-01,-1.45765
2003-05-01,-0.18155
2003-06-01,4.47823
2003-07-01,-0.55198
2003-08-01,-2.30457
2003-09-01,7.10390
2003-10-01,8.61447
2003-11-01,6.85907
2003-12-01,10.70431
2004-01-01,5.11900
2004-02-01,4.33569
2004-03-01,10.81251
2004-04-01,8.86995
2004-05-01,6.94699
2004-06-01,6.99280
2004-07-01,7.79772
2004-08-01,6.17415
2004-09-01,5.45862
2004-10-01,0.80728
2004-11-01,5.97738
2004-12-01,6.64691
2005-01-01,9.05392
2005-02-01,8.15415
2005-03-01,-2.23242
2005-04-01,5.68374
2005-05-01,12.62625
2005-06-01,13.13295
2005-07-01,4.08917
2005-08-01,11.49036
2005-09-01,8.25338
2005-10-01,13.34543
2005-11-01,14.63969
2005-12-01,14.42364
2006-01-01,7.52534
2006-02-01,11.84018
2006-03-01,21.74612
2006-04-01,10.15053
2006-05-01,4.45062
2006-06-01,5.33283
2006-07-01,7.72284
2006-08-01,2.75045
2006-09-01,15.05120
2006-10-01,3.35920
2006-11-01,1.84657
2006-12-01,3.49618
2007-01-01,5.73208
2007-02-01,1.42670
2007-03-01,1.40456
2007-04-01,8.28096
2007-05-01,5.66771
2007-06-01,3.34463
2007-07-01,11.96884
2007-08-01,11.49554
2007-09-01,-3.15380
2007-10-01,5.81880
2007-11-01,2.27927
2007-12-01,5.86975
2008-01-01,7.91736
2008-02-01,5.68171
2008-03-01,1.26748
2008-04-01,-0.88727
2008-05-01,1.04977
2008-06-01,-0.01662
2008-07-01,-6.10996
2008-08-01,-8.04370
2008-09-01,-6.45273
2008-10-01,-16.34579
2008-11-01,-20.50989
2008-12-01,-28.78833
2009-01-01,-35.44535
2009-02-01,-37.47240
2009-03-01,-37.70312
2009-04-01,-37.05587
2009-05-01,-34.37263
2009-06-01,-36.23617
2009-07-01,-29.38938
2009-08-01,-27.05939
2009-09-01,-25.82772
2009-10-01,-15.57823
2009-11-01,-11.80693
2009-12-01,-7.88231
2010-01-01,18.21309
2010-02-01,20.72653
2010-03-01,24.12996
2010-04-01,28.19917
2010-05-01,23.92634
2010-06-01,28.35913
2010-07-01,22.37348
2010-08-01,21.38247
2010-09-01,26.87460
2010-10-01,19.71603
2010-11-01,21.64038
2010-12-01,21.83007
2011-01-01,11.92507
2011-02-01,10.25366
2011-03-01,16.98927
2011-04-01,8.70031
2011-05-01,10.17341
2011-06-01,7.43401
2011-07-01,9.99038
2011-08-01,12.08284
2011-09-01,3.58373
2011-10-01,7.47509
2011-11-01,10.40000
2011-12-01,16.22895
2012-01-01,10.03163
2012-02-01,15.54601
2012-03-01,4.17326
2012-04-01,8.50385
2012-05-01,5.61246
2012-06-01,8.87240
2012-07-01,7.98796
2012-08-01,-6.14782
2012-09-01,4.36050
2012-10-01,4.70214
2012-11-01,0.44348
2012-12-01,2.04400
2013-01-01,-2.94927
2013-02-01,1.28738
2013-03-01,-4.44407
2013-04-01,1.02774
2013-05-01,5.41279
2013-06-01,10.55171
2013-07-01,-3.90736
2013-08-01,9.84247
2013-09-01,6.80973
2013-10-01,3.22824
2013-11-01,8.76654
2013-12-01,0.36340
2014-01-01,1.89936
2014-02-01,0.61459
2014-03-01,10.36674
2014-04-01,6.84737
2014-05-01,0.27884
2014-06-01,-1.75639
2014-07-01,34.60726
2014-08-01,7.58300
2014-09-01,1.64562
2014-10-01,2.41499
2014-11-01,-4.42471
2014-12-01,-2.77499
2015-01-01,1.73346
2015-02-01,-4.79829
2015-03-01,-1.71774
2015-04-01,-4.37675
2015-05-01,-5.61164
2015-06-01,-3.17291
2015-07-01,-21.38858
2015-08-01,-4.80090
2015-09-01,-6.24212
2015-10-01,-2.56938
2015-11-01,-0.60436
2015-12-01,-1.51151
2016-01-01,-0.70466
2016-02-01,-1.79381
2016-03-01,-5.82381
2016-04-01,-0.55639
2016-05-01,0.69582
2016-06-01,-9.85630
2016-07-01,-6.09823
2016-08-01,-3.30082
2016-09-01,-1.63774
2016-10-01,1.91262
2016-11-01,-3.51197
2016-12-01,-0.08413
2017-01-01,-0.63615
2017-02-01,0.84332
2017-03-01,5.26745
2017-04-01,0.65727
2017-05-01,2.54314
2017-06-01,16.29540
2017-07-01,2.76155
2017-08-01,3.40984
2017-09-01,10.52753
2017-10-01,1.01229
2017-11-01,8.87300
2017-12-01,9.26219
2018-01-01,3.91713
2018-02-01,11.27627
2018-03-01,9.07337
2018-04-01,7.86534
2018-05-01,9.70842
2018-06-01,2.71670
2018-07-01,9.08644
2018-08-01,11.57961
2018-09-01,7.11269
2018-10-01,6.00726
2018-11-01,3.77366
2018-12-01,3.59259
2019-01-01,8.07177
2019-02-01,0.03799
2019-03-01,2.26439
2019-04-01,-1.65647
2019-05-01,-3.96092
2019-06-01,-4.40632
2019-07-01,0.37572
2019-08-01,-3.26995
2019-09-01,-5.72853
2019-10-01,-1.61252
2019-11-01,-3.94961
2019-12-01,-3.27042
2020-01-01,-3.62287
2020-02-01,1.62135
2020-03-01,-18.64415
2020-04-01,-30.28535
2020-05-01,-18.63594
2020-06-01,-12.41536
2020-07-01,-4.50005
2020-08-01,-4.43861
